z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,O,HO2,CH3,CH2O,C2H4,C2H6,CH4,CO2,H2O,O2,H2,CO,OH,CH2,CH2(S),HCO,CH3O,C2H5,N2
0.0,1.473095649286756,1.3138182912106264e-18,300.0,0.6516888434670303,3.0854707371976157e-16,5.379302860948983e-16,4.8638460876362543e-19,2.4995828393339531e-17,2.0288128464850949e-18,-4.3691927883428928e-16,8.744841771376611e-16,0.9999999999998832,7.1982677811270964e-16,-3.061122239378462e-17,-1.1422714679525279e-17,1.1580160388333475e-13,-5.1408660572697768e-16,-8.7360995640474416e-16,-6.78463733636725e-16,7.7499506951063445e-16,-2.9290186926617727e-18,2.784048446916714e-19,-7.0417657477730839e-19,2.1812930089182834e-16
0.00042553191489361702,1.4649230538002371,19.205599396308735,299.99999999999994,0.6516888434664675,3.1359608089140895e-16,5.2026434976093403e-16,4.8639178271518172e-19,7.3249422847690989e-16,2.0288378518871001e-18,-4.3691453423544474e-16,8.7676342254667537e-16,0.99999999999889555,7.1984624514849492e-16,-8.8145079121733969e-16,-1.1297245251786671e-17,1.1036549722670204e-12,-5.13559930612261e-16,-1.5297493711407894e-17,-6.7679192703324012e-16,1.6371326001797044e-21,-2.9290009576410023e-18,2.7840504970454846e-19,-7.0417639561183753e-19,2.2598773707384932e-16
0.00085106382978723403,1.4404052673487493,38.411198792656002,300.00000000000142,0.6516888434611432,3.198307482415173e-16,5.0289233870697745e-16,4.8659823101411468e-19,7.4456747423491225e-16,2.0298192668870252e-18,-4.367352155048552e-16,8.7880862641276382e-16,0.99999999998955647,7.2057275654539517e-16,-7.8350560813414841e-16,-7.6916492593305538e-18,1.0442255753884151e-11,-4.9824139095191504e-16,2.1248641769987969e-20,-6.7509510747020488e-16,3.4025337440289967e-27,-2.9289829121372588e-18,2.7841342881980917e-19,-7.0416875287049653e-19,4.5257628922506074e-16
0.001276595744680851,1.3995422900181287,57.616798189167028,300.00000000004042,0.6516888434115122,3.3376007303986407e-16,4.8561633652748671e-16,4.924488468465941e-19,7.7194101435625251e-16,2.0676428700148618e-18,-4.3007041248124452e-16,8.8118957047525734e-16,0.99999999990258648,7.4724513687010507e-16,1.9424400757441215e-15,9.3997190196038073e-17,9.7402650236639493e-11,-5.991034269358401e-17,2.8063274240072569e-19,-6.733522548801084e-16,9.5126268883914634e-33,-2.9289643048880748e-18,2.7873790350199773e-19,-7.0386462303082975e-19,6.88043010486332e-15
0.0017021276595744681,1.3423341225556844,76.822397587515525,300.00000000102045,0.6516888429597623,3.9606113218236837e-16,4.6823540954465117e-16,6.5371930865226944e-19,8.029817729430838e-16,3.4850339992244087e-18,-1.8919755733617469e-16,8.996791143484368e-16,0.99999999911305504,1.6994446321854135e-15,7.6204100221646665e-14,2.8832228341337209e-15,8.866661714134215e-10,1.2139276249602441e-14,2.7503523928301444e-19,-6.7153870840472307e-16,2.6017069262648791e-33,-2.9289439625966628e-18,2.9094401565070682e-19,-6.9211524019927293e-19,1.8423488834935713e-13
0.0021276595744680851,1.2687807711541423,96.027997011740638,300.00000002471523,0.6516888389777081,7.5254846081797653e-16,4.5052491244121179e-16,4.9239777065814739e-18,9.1585435037332535e-16,5.4486712839180255e-17,8.1701956424070206e-15,1.5204311266959519e-15,0.99999999220305591,3.4342205321824518e-14,2.0309070670359727e-12,7.6375482542316696e-14,7.7895678530907018e-09,3.3827520763889901e-13,2.6470541871022804e-19,-6.6962363554271634e-16,2.4757546751323533e-33,-2.9288893236888077e-18,7.318329436921949e-19,-2.5629617640329358e-19,4.8849414525542501e-12
0.002553191489361702,1.1788822843648736,115.2335967925812,300.00000056749724,0.651688805135516,2.8141967930824385e-15,4.3221408041177142e-16,1.1203377912869364e-16,3.004933260901266e-15,1.791904924300032e-15,2.828409785036089e-13,2.3381202858925961e-14,0.99999993458191638,1.0938534496865761e-12,5.0780616578218291e-11,1.9107158999077462e-12,6.523248158164737e-08,8.5973824913809954e-12,2.5394797774834205e-19,-6.6756577394653177e-16,9.3508047691640891e-33,-2.9277140184993767e-18,1.5808425018386836e-17,1.5047565970248621e-17,1.2290586203919248e-10
0.0029787234042553193,1.0726390241083754,134.43920142443014,300.00001215861232,0.6516885261602304,1.415047837240567e-14,4.1295933246871519e-16,2.6158716905935024e-15,4.9947365055644209e-14,5.6908087157957498e-14,8.6878990736954789e-12,7.4229229569917808e-13,0.99999948219307533,3.3121659004459155e-11,1.1839023611912693e-09,4.4581132371650844e-11,5.1344777382504821e-07,2.0351771843216765e-10,2.4263476203628908e-19,-6.6530239246551085e-16,1.8437119748670656e-30,-2.8913917656629535e-18,4.959047122106382e-16,5.154526141050127e-16,2.8844736571183954e-09
0.0034042553191489361,0.95005362953642991,153.64487316073664,300.00023842267467,0.6516862328540057,7.1996091010445149e-14,3.9243970712587372e-16,5.6097008691830551e-14,1.0273000650336125e-12,1.6527505194501457e-12,2.4346445429145151e-10,2.2320145411397525e-11,0.99999617029802246,9.1691709503068195e-10,2.5250253371438144e-08,9.51568825762733e-10,3.7359802909190758e-06,4.4067400176989942e-09,2.312074667840651e-19,-6.6266866564849319e-16,2.9005777249699827e-28,-1.8515496959853939e-18,1.4449446712330369e-14,1.5448133335884233e-14,6.1927584953462991e-08
0.003829787234042553,0.81114588119423725,172.85148468882502,300.00417614171192,0.6516664384304938,3.4018114757623613e-13,3.724539503344286e-16,1.073960845280014e-12,1.9177422093679849e-11,4.2759836108404661e-11,6.0786582975969424e-09,5.9841019277278678e-10,0.99997357489018124,2.2618295760165049e-08,4.8071948899642677e-07,1.8130243544167839e-08,2.4624992555168484e-05,8.5164444426306127e-08,4.2452411840854526e-19,-6.5837963644323782e-16,3.5898791653647715e-26,2.429791500756779e-17,3.7523412007639705e-13,4.1182703339433965e-13,1.1867435840542452e-06
0.0042553191489361703,0.65606919866419899,192.07060514772317,300.06324367266171,0.6514815617066726,1.4415907020190026e-12,3.8287297043422849e-16,1.7757422635290766e-11,3.0957640897359698e-10,9.525880649112527e-10,1.3072506456280336e-07,1.3811111179106349e-08,0.99982684684520529,4.8063748825136808e-07,7.9050499481215493e-06,2.9837285077037679e-07,0.00014325938743145995,1.4214132079676551e-06,4.9613194256008472e-17,-6.3848415686812213e-16,3.417817576850504e-24,5.5850780961310029e-16,8.3901701282643843e-12,9.4505541904877691e-12,1.9642458487899501e-05
0.0046808510638297876,0.48590979285872632,211.42960107405264,300.78950546604642,0.6497362124664852,5.3369023081861216e-12,7.2922920984778117e-16,2.4150901225742016e-10,4.1147913705332926e-09,1.7367486164422808e-08,2.3021530198507795e-06,2.6076351058380606e-07,0.99888162354449306,8.3654435512797476e-06,0.00010692368024582005,4.0399485829140827e-06,0.00070947055232861819,1.9513423242611417e-05,7.8504449207951289e-15,-4.9079164994674985e-16,2.5443853236345026e-22,7.6593062888614048e-15,1.5344153038679144e-10,1.7740853918910365e-10,0.00026747843103582669
0.0048936170212765962,0.39755933706066204,221.53140271255211,303.40817826652551,0.6442295158120519,1.0635612014664807e-11,1.8295819431239173e-15,1.1182755389067168e-09,1.8760090276872617e-08,1.023142891747134e-07,1.3172990036880402e-05,1.5832416270419191e-06,0.99652145761584143,4.7399125266269801e-05,0.00049137733678935246,1.8598344464865876e-05,0.0015779239209161701,9.0849812082401986e-05,1.5472227278969156e-13,-2.0378436258751599e-16,4.8166647874753115e-21,2.2798674510109685e-14,9.0067830013279187e-10,1.0715325720745816e-09,0.0012375134372950402
0.0050000000000000001,0.35504346110496321,227.18238895590795,307.965296805359,0.6353620728377395,1.6264829355094087e-11,3.4173214701710355e-15,2.7659626072351067e-09,4.6000382941659866e-08,3.029082951078731e-07,3.812974446364891e-05,4.8040505614796443e-06,0.9929375462630452,0.00013616774628649744,0.0012005135678010174,4.5563464895564113e-05,0.0023675236604282931,0.00022448268745823367,8.5125118456400149e-13,1.877689097567868e-16,4.1271346831270956e-20,4.3257071357928155e-14,2.6398999372906957e-09,3.238249065686923e-09,0.0030449112451073198
0.005106382978723404,0.31655414742554211,234.0799228833209,318.92058979225811,0.6156733091851557,2.7201261901249387e-11,6.711991263904969e-15,6.9952241330047945e-09,1.1556772924864517e-07,9.2108994925075492e-07,0.00011329699562610029,1.5018193261876545e-05,0.98469349201853051,0.00040153924565917152,0.0029692444004118927,0.00011337223342518134,0.0035070802087520418,0.00056382425905252096,4.2383847624334498e-12,1.287470611647048e-15,4.4921168404515859e-19,9.9704195641551231e-14,7.8993039664593989e-09,1.0082182228454494e-08,0.0076220707793443372
0.0052127659574468087,0.28431065952510065,243.40331445937099,342.1735822466938,0.578851385294178,5.401740665122135e-11,1.3472551927466109e-14,1.6704340347226209e-08,2.7689843429469381e-07,2.5471248955842718e-06,0.00030737785279955207,4.2716381147028465e-05,0.96742882252101992,0.0010829506307132913,0.0067802180838923498,0.00026195918878840866,0.0050168759440132474,0.001314589217653452,1.5519511619269451e-11,5.5536499741194133e-15,4.1883951445655418e-18,2.7804345408680014e-13,2.1137725332396622e-08,2.8594674187217854e-08,0.017761599650069224
0.0053191489361702126,0.25802999185438608,256.43115314226065,384.40230802736841,0.524289088852504,1.3475477644794037e-10,2.8402921220607516e-14,3.6530062928225075e-08,6.2059664337280433e-07,6.0584625040480107e-06,0.00072155294914452641,0.00010457492342709285,0.93603600332076708,0.0025337775631658422,0.013630569038470541,0.00053731879118629406,0.0068243045477199326,0.0027191092519393586,3.9110173938797544e-11,2.2876130589487824e-14,2.8080915358366216e-17,7.9171705234582868e-13,4.7002525993373081e-08,7.0042919654780395e-08,0.036885956804815372
0.0054255319148936165,0.23293063639951611,273.59228927002783,448.98377249733608,0.4616909961408495,4.2304313265158841e-10,6.2708271073148037e-14,7.2669396606523693e-08,1.3131153477118385e-06,1.2188668501728245e-05,0.0014420016190457019,0.00021659439965756216,0.88737608648199617,0.0050624888066776678,0.023803752679506539,0.00096531444458506743,0.0087878978838448231,0.0049219246570967696,7.5028396595744334e-11,8.1405984320322822e-14,1.4173111913073519e-16,2.4076802022091121e-12,8.2899835750630399e-08,1.4656273465615889e-07,0.067410134611149836
0.0055319148936170213,0.20204361791659531,293.78883577729573,533.93732022200095,0.40336522867300606,1.5958767326987992e-09,1.5470194832722055e-13,1.3065104420118864e-07,2.6682145721390181e-06,2.1013844429109977e-05,0.0024829673769545964,0.00038387978631299725,0.82212062095460869,0.0087390494417762567,0.036607572885147745,0.0015347034076022567,0.010771760155118618,0.007875862930111395,1.2825829999547246e-10,2.5175577428864296e-13,6.0929720381647984e-16,9.6026763086025539e-12,1.1003760957938425e-07,2.6813526973869188e-07,0.10945939044529771
0.005638297872340426,0.16053699335477659,314.78835490600198,634.65595214210452,0.3550598978509658,6.0747170465578663e-09,6.146320447324194e-13,2.0816778105541016e-07,5.2845984106174922e-06,3.1904462256154576e-05,0.003778534124671112,0.0005971267343212374,0.74415807809524992,0.013356988750411324,0.050854482976892143,0.0022050542077467691,0.012687082750488871,0.011375398467839288,2.1289934859997164e-10,6.6636947494551404e-13,2.2351277336727195e-15,4.5676098875494501e-11,9.3092545439395895e-08,4.4087027004741524e-07,0.16094931636654031
0.0057446808510638299,0.10689486336857565,334.21474255993792,746.8080647264876,0.3166730549439535,1.669618581096895e-08,3.4645375230802942e-12,2.8595965721259201e-07,1.0327933983599368e-05,4.3840229421106306e-05,0.0052203321600804882,0.00083757385676311367,0.65882797495565926,0.018548488009124203,0.065437769543171528,0.0029264756926007142,0.014490348572686567,0.015157264658993634,3.537043669030407e-10,1.6752817226087997e-12,7.1618930154181881e-15,1.8070334368377438e-10,3.6479895072344048e-08,6.3898887054329488e-07,0.21849862572335221
0.0058510638297872338,0.041671438473440341,350.30761981908233,866.8726151424097,0.28619205673250353,3.8435036384932764e-08,1.7901190933696866e-11,3.3501555430071846e-07,2.0121542104898131e-05,5.5782564986620784e-05,0.0067017784026798628,0.0010844069740168268,0.57132832932920363,0.023932416447830836,0.079598476697686826,0.0036555312745912127,0.016168433685526139,0.018986986577383229,6.5848085993537009e-10,6.9206558311074898e-12,3.6208829367925307e-14,5.5159757927048399e-10,1.1812231184933507e-08,7.9775921227620227e-07,0.27846655224701933
0.0059574468085106386,-0.033710087187887171,362.15887928829829,991.76797446953992,0.2616696552714654,9.3432368905304761e-08,8.8397768336643087e-11,3.3814140128963157e-07,3.9508031725413903e-05,6.7039929578485089e-05,0.0081426047430736715,0.0013189961012958175,0.48582057762283049,0.029206779696395648,0.092924201051074476,0.0043616519872865843,0.017724526412137429,0.022696947085225318,1.7903818609628268e-09,4.4020421473699147e-11,3.0119017107723792e-13,1.404888502496202e-09,5.6967883160512959e-09,8.5531314435419352e-07,0.33769587142768398
0.0061702127659574463,-0.20901509679717031,373.73367964790737,1247.5773529343614,0.2238184531494186,4.6150899802629945e-07,1.2717808941553974e-09,2.7182045032661807e-07,0.0001288933186486456,8.5357065512853649e-05,0.010600543001860016,0.0016807374057572183,0.33882834891657881,0.038263110371997103,0.11523960753329249,0.0055743586859667337,0.020343915350240424,0.029056741647259611,2.6310604687439714e-08,1.0795660956534848e-09,1.6221218727727361e-11,5.8520220078721543e-09,2.8084544131797689e-09,7.0695762458393391e-07,0.44019690907716391
0.0062765957446808511,-0.30441142657886983,374.0694645106347,1370.451687266469,0.21041827728618454,1.2755577775352418e-06,5.4623312282292061e-09,3.05747758816261e-07,0.0002626302729774388,9.4120524783529281e-05,0.011731454100393938,0.0017881546383608769,0.27044379347229497,0.042464215934295918,0.12566348709014791,0.0061458157368895292,0.021598262607439658,0.032038501956389916,1.2071638502339892e-07,6.9804974259822733e-09,1.3922872228724715e-10,1.3829611080527123e-08,4.3662662910095134e-09,1.1367248508540548e-06,0.48776669414131935
0.006382978723404255,-0.40298108836651281,371.48626776199853,1488.151096247087,0.19927087089343015,3.5983075076526666e-06,2.231570156539351e-08,3.9209282752093331e-07,0.00051850702232227931,0.00010288954969325891,0.012730553773990114,0.0017989192154751188,0.20884800090150554,0.046242137377359667,0.13518768938589565,0.0066694576001542936,0.022765130362015256,0.034748925169389704,5.0966648905491755e-07,4.0746042668673471e-08,1.04730300304502e-09,3.2992116260658308e-08,9.0824941737389712e-09,2.2603124330263401e-06,0.53038092307928408
0.0064893617021276589,-0.50309034211321724,366.45370557561108,1598.7848028609296,0.1899944380636059,1.0447553697526314e-05,8.8358985323752247e-08,5.4201526303102782e-07,0.00098919257246789455,0.00011295046510489543,0.013557170402556117,0.0016620472250534093,0.15394640675877727,0.049603226636840837,0.14385536385478187,0.0071518216644960294,0.023828457756086933,0.037188177214856656,2.0261230292148736e-06,2.1890427567466267e-07,7.0758903479011861e-09,8.1228083212730671e-08,2.1572707467040107e-08,5.0332706023553299e-06,0.56808671934644395
0.0065425531914893613,-0.55314683602241066,363.13045353781933,1650.9508049455139,0.1859908999610143,1.8321377687296849e-05,1.7857302236873236e-07,6.558665933794861e-07,0.0013419850495456492,0.0001194933637653531,0.013858304674082214,0.0015256870360463035,0.12860290204087213,0.051154640807648658,0.14793784334102542,0.0073888486737873947,0.024302697123795063,0.038320088822060575,4.0379985165476833e-06,5.056942605649639e-07,1.8062360633722588e-08,1.3139240073720836e-07,3.3858616334396149e-08,7.664078469384075e-06,0.58541596216544389
0.0065957446808510636,-0.60309140408856743,359.3229388897409,1700.908733411751,0.18232311473118726,3.1827935310668507e-05,3.5529196528023146e-07,8.021156020210571e-07,0.0017687842770449371,0.00012743777386669966,0.014041749408955362,0.0013487105845814043,0.10504787756078449,0.052598332705354515,0.15179478972497223,0.0076256914586528626,0.024711016238373934,0.039373347661371565,7.92077364215017e-06,1.1160685788847854e-06,4.3907865227895225e-08,2.1341949299309618e-07,5.2169721060779601e-08,1.1355852157267179e-05,0.60150857507170641
0.006648936170212766,-0.65279220817545791,355.07364500508288,1748.6128942219766,0.17895769069320153,5.5414809937691475e-05,7.0842148208394506e-07,9.974884702822844e-07,0.0022606346398555215,0.00013736403622247956,0.014050387303627792,0.0011408738460921923,0.083312409857488917,0.053937727749000484,0.15542036018440078,0.0078726479989744101,0.025019202414828447,0.040341020660830056,1.5524475934112656e-05,2.397600989754862e-06,1.0324653782767431e-07,3.5239034547664585e-07,7.8791327302633122e-08,1.6252549789419973e-05,0.61641554153386502
0.0067021276595744684,-0.7021203288033866,350.4210382800124,1794.0129595007211,0.1758675908092224,9.791117373455481e-05,1.4441902162774725e-06,1.2738787190280109e-06,0.0027959707031147709,0.00014997734044838235,0.013802334325509176,0.00091556948626166285,0.063479672651437932,0.055177000690653857,0.15879881546628724,0.0081477820502596013,0.025173307647679385,0.041208647916544043,3.097309696558344e-05,5.0986035436333134e-06,2.3877195251753941e-07,6.0080307573783766e-07,1.1689601270205874e-07,2.2270479645525678e-05,0.63019099382793842
0.0067553191489361699,-0.75088154057229561,345.39974539100336,1836.887730693556,0.1730466697159343,0.00017813848848098669,3.0855306410722612e-06,1.6951338190892718e-06,0.00333018253727489,0.00016608476272052491,0.013188507977140284,0.00068547876965516165,0.045712985905399871,0.056321735205262145,0.16189478715350977,0.0084841648247819309,0.025089095742124198,0.041946320539707253,6.4239309808056887e-05,1.0905940119691616e-05,5.5191120819198379e-07,1.0779504872469583e-06,1.7113986361412783e-07,2.8767564578487982e-05,0.64289202361341757
