z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.73654784784081251,-2.3572150426385082e-18,300.0,0.651688822942214,3.6082803871067745e-08,-3.6610430355092392e-15,1.5175814243164372e-19,3.1521188966992235e-13,2.5602064996382896e-15,2.5612747791500612e-11,7.407483010703666e-18,-5.6865227903218406e-19,1.0139874442371173e-15,-5.9017928008385018e-16,2.4021549580250798e-19,2.2632648640258257e-15,7.2386340370175225e-16,0.99999996382456724,4.8270943863319833e-12,6.2895239523532813e-13,9.9636611652197712e-21,9.5390444544918604e-16,-9.843966093142536e-19,5.8387892192429937e-19,7.745010689837293e-16,6.6837097505578171e-20,1.2590533813689277e-13,-1.8878688935207677e-15,4.1698711887630658e-14,2.0374300367142279e-18,8.9106487057131342e-15,-3.1131786752164169e-18,2.5660310939704324e-16,5.1211138724119239e-16,1.0051412200647812e-15,-9.9156336257765514e-16,6.6417671109601926e-16,2.7806827334011001e-16,7.395444027422467e-36,6.8389122588378747e-15,1.1934037003706737e-17,2.4344329161273507e-16,-1.1978667539903246e-15,-1.1732307398136017e-18,4.4910549296418611e-16,-1.3367536692686074e-18,-6.9782948427208275e-23,6.498376117674587e-17,5.1871645095870722e-19,2.8895799421918329e-16,-2.7988935415590928e-22,6.1057848326034691e-11,-3.8604104291152003e-20,6.0688479128351763e-20,3.5038618416422032e-17,3.3588187012254425e-19,-4.6100493132472524e-18
0.00086956521739130438,0.71823252000628457,21.0628781644815,300.00000721512379,0.6516886297085553,3.4947503164958454e-07,8.3032409629297922e-16,1.3940182843356693e-18,9.2833626258184282e-12,1.1125241169030214e-17,7.5299574859247575e-10,2.1903595261318724e-16,1.071120593542221e-16,1.0138983233145311e-15,-2.1130301962208746e-22,2.5582181154015244e-19,1.147001949672271e-21,2.0877283470503521e-14,0.99999964778029482,1.4411305012359471e-10,2.4098587092968614e-11,2.4677668148400838e-19,2.1134155450353828e-14,-9.8428450683649653e-19,2.3696363554116155e-17,4.254123194577819e-15,6.6352570690279353e-20,4.6799624843389971e-12,-5.279161195228858e-16,1.6175747048181514e-12,9.6066114810810076e-17,3.7162826183530642e-13,-2.8775238543616677e-18,1.1631804693410143e-14,1.3171103409313165e-15,1.005139157143138e-15,-9.9150394994900953e-16,6.7576969569712426e-16,4.7080466591969735e-14,2.2109275347453944e-34,2.1451006857044541e-13,6.0714852676005644e-16,2.7066359723322636e-16,-1.1947960701990122e-15,-1.1721553704992693e-18,2.1036469341909863e-14,-9.5224787221009957e-19,-6.9816741364340853e-23,1.7420990901580862e-15,1.2822050431650047e-17,6.0484512380863667e-15,-1.9426443529537227e-22,1.80716181744422e-09,-3.8604090045729478e-20,3.2647743333833569e-18,1.7041973283906722e-16,1.5259678523276236e-17,3.4875343227870654e-17
0.0017391304347826088,0.66328809024246083,42.125778135271183,300.00019727291618,0.6516865553414973,3.3171019678931128e-06,3.3154919364747858e-14,2.93384656366647e-17,2.6681128060245078e-10,6.2146035561329193e-20,2.162373277519642e-08,6.326242751900569e-15,3.2292358588373704e-15,1.0122465095246524e-15,-6.9857472381793791e-29,7.5765052097837653e-19,5.4796470624807142e-28,4.3200452008026178e-13,0.99999660339949581,4.202551743043152e-09,9.0161540326504423e-10,9.5138242898342959e-18,8.1320285884279091e-13,-9.7994102386892465e-19,9.3456772109766754e-16,1.4273120128464888e-13,6.2087779653531968e-20,1.7073746143365215e-10,-1.3943779074397359e-16,6.1341932497116984e-11,3.9007918469110255e-15,1.5129703527394836e-11,2.7392590191115099e-18,5.148238182770087e-13,3.6926949337855728e-14,1.005103374497357e-15,-9.9040884817039497e-16,8.974017914955099e-16,1.4207244182285839e-12,3.0237704204685907e-31,6.284692213647661e-12,2.0750329271069764e-14,1.2974571849230351e-15,-1.1052498433587161e-15,-1.1512476759715939e-18,8.4789060297301796e-13,1.4590530770059118e-17,-6.9759772354838929e-23,6.4816831916148085e-14,4.755388906764456e-16,2.2265760353240461e-13,2.6258116121049834e-21,5.2245755206651616e-08,-3.8603965288181285e-20,1.6639620711578504e-16,7.084216017760493e-15,6.77538068189128e-16,1.7924388078120602e-15
0.0026086956521739132,0.57173311904385327,63.189194126147882,300.00483503373749,0.651662361431606,2.9495237252604744e-05,2.3277782504842021e-13,6.1131054802544957e-16,7.1157460722443954e-09,4.1159412190570809e-19,5.7623853034968801e-07,1.6953997931353804e-13,8.7064664156941772e-14,9.8631827220250925e-16,1.0086059481936543e-29,1.3822000512958459e-17,2.3133585178833132e-27,1.1156900550843644e-11,0.99996836600262529,1.1371663663919685e-07,3.126789158261679e-08,3.4354005647859517e-16,2.9583230298311824e-11,-8.2419342563724591e-19,3.4155939084754568e-14,5.242519785022752e-12,3.806518487624252e-20,5.7751495958094907e-09,-2.7102072453100261e-17,2.1536221323225048e-09,1.4636208727815324e-13,5.7095929716714571e-10,1.2490340200998963e-16,2.1109098823733122e-11,1.4943402844671726e-12,1.0043966421318368e-15,-9.7175702933388563e-16,4.8272005112417112e-15,3.8756907175861269e-11,5.7161000470053499e-29,1.7060175817378468e-10,6.5180960970042227e-13,3.7144250120112553e-14,1.312953128806214e-15,-7.9973175148584472e-19,3.1578939769582079e-11,5.9591897283315244e-16,-6.8755957213561265e-23,2.260295895764395e-12,1.6581594322251788e-14,7.7622994588662988e-12,8.8847274812356864e-20,1.4016002123431614e-06,-3.8603049162689263e-20,7.8489185822278426e-15,3.336756066865704e-13,2.7865511782402412e-14,7.4172442302942975e-14
0.0034782608695652175,0.44375994307160083,84.262604220872973,300.10297716740115,0.6513525836216809,0.00023207764724965274,1.3284296187265754e-12,1.1313767168593022e-14,1.650041347811292e-07,3.2304031486917545e-17,1.3351199241568908e-05,3.9489427247667087e-12,2.0382948097104696e-12,7.0950806641597576e-16,1.8473882577547085e-27,3.0788749384499706e-16,4.196097115624955e-25,2.5352438471787424e-10,0.99971783613917331,2.6750923364888517e-06,9.4085954576251998e-07,1.0635895132651019e-14,9.3393041423861022e-10,3.8910008227875174e-18,1.0827630247548725e-12,1.6776652731549578e-10,5.0886099618857413e-21,1.6952207302012662e-07,5.1186949181210734e-16,6.5595898819553307e-08,4.7618315450439512e-12,1.8684795692713962e-08,2.4660514783285044e-15,7.5016982399341555e-10,5.3088370444999702e-11,9.9158544905015846e-16,-7.0011346680379083e-16,6.5408831243709197e-14,9.1827403004460286e-10,7.6437673668856113e-27,4.0258062584495344e-09,1.7773107204613717e-11,1.1203683415386413e-12,5.7888162927922943e-14,2.6976126879303614e-18,1.0199027512290566e-09,1.9388702618329647e-14,-5.6123360093019428e-23,6.8407356263664736e-11,5.01837072970025e-13,2.3492237236374011e-10,2.3035257524646582e-18,3.2691779397455615e-05,-3.8598296850803862e-20,3.2064286781835408e-13,1.3671176283431823e-11,9.9244274568870186e-13,2.6523900257086884e-12
0.0039130434782608699,0.36682207648050924,94.857807103963566,300.72651986349251,0.6498512415653934,0.00072956267111854334,3.3477613605812789e-12,7.3408041336256712e-14,1.2547866038956036e-06,1.5578091823140689e-15,0.00010143409415038294,3.0116621116521207e-11,1.5631613078432092e-11,3.0324097304346175e-16,2.4036093064880177e-26,2.312931511947485e-15,1.2547933469793028e-23,1.8961041999478084e-09,0.99888568518006893,2.0604201935114878e-05,9.0407851030150803e-06,1.0081899796664385e-13,9.37471695763823e-09,3.9378353768246691e-17,1.0898439913406956e-11,1.7052168231889911e-09,3.2639536088299329e-22,1.5927040861280633e-06,9.6678374907679713e-15,6.3731444746785644e-07,4.9128817376979051e-11,1.9384213940726847e-07,1.6137062768443917e-14,8.3947935146580197e-09,5.9407714458740508e-10,9.2932739165817412e-16,4.8434092786573941e-16,3.4927344468014774e-13,7.1161721255567526e-09,1.5117337778612321e-25,3.109351462778343e-08,1.561665142025357e-10,1.0849547607546925e-11,4.5265646527394841e-13,5.0132131252762611e-18,1.0452867102796297e-08,1.9823728251961606e-13,-2.9877920448542202e-23,6.6080393322407547e-10,4.8476646378386846e-12,2.2693116070398641e-09,1.3942356879395356e-17,0.00024992036099612779,-3.859613514815592e-20,4.0834788769622514e-12,1.7457604016658295e-10,1.1069965387550915e-11,2.9850498007002655e-11
0.0043478260869565218,0.2844248779246541,105.85573879236192,305.3161424056641,0.6402749150015006,0.0022761373287594096,8.7682485789402332e-12,4.7934622688813337e-13,9.8957876135974793e-06,8.5968599824377372e-14,0.00079791307165073269,2.392521403482967e-10,1.2436027401562083e-10,2.4824165967769657e-17,5.0102063872330446e-25,1.8338946761420528e-14,1.2015164360241056e-21,1.474362397274137e-08,0.99465261299386321,0.00016468069424944946,9.0797754410644094e-05,1.0225738395997107e-12,9.8420520746064129e-08,3.2935994718576786e-16,1.141737163331494e-10,1.8135088173484002e-08,5.50298901559693e-24,1.5629241025793649e-05,1.3425152806996051e-13,6.4726888584771031e-06,5.3114619471082922e-10,2.1067172774206005e-06,1.1200732677739038e-13,9.8590378304017217e-08,6.9768853898485377e-09,6.4801867021465602e-16,7.245676563332623e-15,1.9184134748036848e-12,5.7153544353609022e-08,3.7955414308190845e-24,2.4922254603482208e-07,1.4286231584425624e-09,1.0985756107052002e-10,3.6068362997383196e-12,1.2508909862847532e-18,1.1210762685147959e-07,2.1095378544955274e-12,1.9278323996704113e-23,6.6726526949873266e-09,4.895066656719003e-11,2.2915014957330509e-08,7.9040176654252502e-17,0.0019830632842982383,-3.8617573224968809e-20,5.4809499874473376e-11,2.3487829029978997e-09,1.2927055068972153e-10,3.5262125045819085e-10
0.0045652173913043482,0.24522680716429301,112.15922400695801,315.72563732131459,0.620809700618839,0.0039405105163206151,1.8092024869447543e-11,1.4248437584812556e-12,3.0761650636181812e-05,7.1227488501349593e-13,0.0024672841483548208,7.7765019237651235e-10,3.889945416055455e-10,1.4432340792259682e-18,3.75383542235918e-24,6.6087089736066862e-14,2.7564908909693604e-20,4.6530308831007487e-08,0.98641473819098313,0.00051698339241806153,0.00033694356978765264,4.0203145964842773e-12,3.7713799700742773e-07,1.3258295708166787e-15,4.2143788150298201e-10,7.0186609676053566e-08,1.074863260378749e-23,5.6995456865327327e-05,5.8048486025046117e-13,2.4211955270812339e-05,2.0940632689543453e-09,8.3017351947014797e-06,3.8218484825159466e-13,4.1223673848529791e-07,2.917161620492301e-08,4.2388788878221087e-16,2.9777554864236986e-14,4.6645167010520079e-12,1.7945897525020912e-07,3.6786646065329764e-23,7.8393904145131353e-07,4.9091982130794251e-09,4.101821117722489e-10,1.1174650205637759e-11,1.5382870326877404e-19,4.3658071146584456e-07,7.974854680007604e-12,1.5435764883580996e-22,2.4862163415711535e-08,1.8238944125326495e-10,8.5380971120516697e-08,2.5609983126445468e-16,0.006200801452967938,-3.8631618018112312e-20,2.556131724062678e-10,1.0939488640018248e-08,5.3678031997774684e-10,1.4811458320452e-09
0.0047826086956521737,0.21269620897993219,120.37349263816751,344.93122641834469,0.573975672602403,0.0064927719770358867,4.8255536874661773e-11,4.2571093705221307e-12,9.1397692685209111e-05,4.0356106503863216e-12,0.0072302344897367601,2.5342630773126419e-09,1.1631288958059008e-09,2.9920390507709398e-20,4.0254034751532529e-23,2.5978871171132868e-13,5.3893445935405663e-19,1.4477847038659019e-07,0.96449963295942509,0.0015526453430429665,0.0011994650927787541,1.5480445276687084e-11,1.3820206189268898e-06,6.8736853363903247e-15,1.4300824147796715e-09,2.5991081717142518e-07,6.1514137762597079e-22,0.00019925447417671414,2.960669512864673e-12,8.6782144151010271e-05,7.9788719191194266e-09,3.1426898079934977e-05,1.4741135884539573e-12,1.6553559377569188e-06,1.1713524052878374e-07,2.768453347387022e-16,1.5311388253523078e-13,1.0779751579483224e-11,5.3486582314145478e-07,8.014454658869867e-22,2.3587682293380873e-06,1.6017771259044008e-08,1.4690613015071337e-09,3.287177599457713e-11,7.0236844858437476e-21,1.6258688600875405e-06,2.8393335334345206e-11,1.2802763573756339e-21,8.8851577206963429e-08,6.5181936048438391e-10,3.0513246042456342e-07,1.0306419400581948e-15,0.018607826334231404,-3.8447262926496318e-20,1.1554111850725068e-09,4.9220275464817971e-08,2.1611619318762695e-09,5.975845207206861e-09
0.0050000000000000001,0.18692808451347181,132.03193327774795,408.84140300878539,0.49650900484945293,0.0097619123578545179,1.8133108956868324e-10,1.2298675546371669e-11,0.00022597583991790601,1.1892475994680212e-11,0.017387285626506911,7.6208686338830454e-09,2.8910265503278955e-09,2.9510529313533754e-22,6.6053405422519132e-22,1.0742763949651817e-12,5.7846784948466785e-18,4.0977353509872016e-07,0.91757626177883134,0.0038786245829817915,0.003452276088619627,5.088648633107637e-11,4.0440134399506792e-06,4.2081970060871405e-14,3.4200129273428825e-09,7.6771249003143251e-07,5.797272533126139e-20,0.0005642933749129529,2.0155719808997449e-11,0.00025049609827026265,2.4836584862769412e-08,9.5236820375523286e-05,6.4951212415369607e-12,5.2570571989883824e-06,3.719696435872869e-07,5.5071648181123612e-16,1.0258698494848388e-12,2.1572112996432365e-11,1.3081315580523908e-06,3.9713225408203115e-20,5.8999179174010376e-06,4.1702848548408753e-08,4.2466252862745445e-09,7.8764673484064399e-11,2.2462178938870016e-20,4.8185923950015809e-06,7.6077325609107496e-11,1.3213868039382361e-20,2.5638262390961286e-07,1.8808506166911498e-09,8.804704160144288e-07,4.7557557274882998e-15,0.046783333008789875,-3.7505628950254558e-20,4.1244390856348394e-09,1.7309674206433405e-07,7.0634196714277894e-09,1.9056681872068793e-08
