z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,N2
0.0,0.73654784146773022,-9.8108713922971938e-19,300.0,0.6516888285810418,2.6200145587672279e-08,2.5984151519049011e-16,-4.3914879227175297e-17,3.0942450825966436e-13,-6.3359793833519145e-16,3.0113759657862827e-11,5.7911793258400601e-19,4.5525166875233251e-16,-3.6252469241021192e-16,2.7064624061353863e-13,0.99999997368757187,6.4704416039209623e-12,7.8115795967840515e-13,6.6552584835680767e-23,3.0307124909460016e-16,-7.5231164046350567e-16,7.4337911289157476e-11
0.00086956521739130438,0.71809415038612823,21.221936320140728,300.0000088022656,0.6516886811859051,2.5348112430151632e-07,3.5623500342852529e-16,-3.8476023659165686e-17,9.0779437643207757e-12,-2.7752873114495723e-18,8.8576842913392708e-10,1.709216610953126e-17,4.506350500030496e-16,-1.837008250807242e-22,7.7981164506710954e-12,0.99999974319486262,1.9293755014895093e-10,2.9943294575764885e-11,2.6897475915185148e-21,1.218133741545398e-14,-7.5230718021242832e-16,2.1984757471985175e-09
0.0017391304347826088,0.66273437250875733,42.443896009599662,300.00023991595344,0.6516869901640964,2.4029776689240155e-06,1.0040363411680246e-15,-3.3276903960000903e-17,2.6041768363719817e-10,-3.0613962556060357e-20,2.5444901539770871e-08,4.9280060857507338e-16,4.4659079753233411e-16,-8.7874243598720061e-29,2.1947938279046139e-10,0.99999750086039796,5.6194323666267747e-09,1.1198335710612285e-09,9.6407910501211817e-20,4.7786239870757817e-13,-7.5218791436481579e-16,6.3497389583774946e-08
0.0026086956521739132,0.57048568094189278,63.666419841531422,300.00585787084316,0.6516649687163713,2.1329740351866061e-05,5.0316157433133991e-15,-2.7073685202799817e-17,6.9285932363842231e-09,-1.5143645051225176e-20,6.7787732752882006e-07,1.3176904921513943e-14,4.6572528181140069e-16,1.4611915138652728e-28,5.7284766947583598e-09,0.99997608834523688,1.5177946233335448e-07,3.8795636548504101e-08,3.2102858859504667e-18,1.7362617046622129e-11,-7.4935388235192374e-16,1.7007875344070863e-06
0.0034782608695652175,0.44154831078906492,84.900206234958361,300.12414368121262,0.6513475915328565,0.00016735875413392281,2.7675332327996897e-14,-1.2549973868765419e-17,1.6007604096997091e-07,7.7348088923374878e-20,1.5681360137060657e-05,3.0601426216782364e-13,1.0216415338837148e-15,8.3922563009301891e-26,1.2985614315857765e-07,0.99977238768133192,3.5594436918560572e-06,1.1646398741723492e-06,8.9941255997552415e-17,5.4645866687306027e-10,-6.9924223589368621e-16,3.9557641854184508e-05
0.0039130434782608699,0.36410972516017026,95.585372971768365,300.87011899813746,0.6496883404034326,0.00052407362881782334,8.1731113366500312e-14,-2.7571106734089762e-18,1.2102010918339341e-06,4.15095255907163e-18,0.00011865545004983986,2.3421482147491904e-12,4.8916550566024262e-15,6.9313710026458199e-24,9.6532289738456232e-07,0.99901581851302246,2.7269104571723645e-05,1.1136730936709396e-05,7.1803071299345855e-16,5.4547704755447273e-09,-5.4557362131200451e-16,0.00030086559141297847
0.0043478260869565218,0.28164320086993894,106.74187612564612,306.30826499579405,0.6387922734204429,0.0016235890000922458,3.2866103424220942e-13,-7.891417971423644e-20,9.4463611332111503e-06,2.5282810791727759e-16,0.00092526038700326484,1.9109163481163331e-11,3.6607112344211136e-14,1.5566808049431569e-21,7.4016931749223331e-06,0.99474269132764992,0.00021583196964843136,0.00011078581112298139,6.8614142530113925e-15,5.6671892707739423e-08,-1.4348708893490958e-16,0.0023649367588006909
0.0045652173913043482,0.24307477203549513,113.24998993360948,318.47314030380596,0.6167051768406143,0.002791331781735617,1.2513964028687832e-12,9.1198287094321206e-20,2.8978016478537985e-05,3.0022365373903344e-15,0.0028248365328457071,7.5201527021995811e-11,1.5391323393009229e-13,5.2250849805085983e-20,2.2402986641980562e-05,0.98595412207223865,0.00066889715955029171,0.0004054418823774261,3.90275394028322e-14,2.1391388728593975e-07,1.7333224717051421e-16,0.0073037755775953207
0.0047826086956521737,0.21197332953589179,121.89433062865803,351.96228643877885,0.5649401358902912,0.0045477560140338219,1.2006286602335455e-11,2.3318160471107533e-18,8.4205200100404451e-05,4.5336914301790565e-14,0.0080912398080039451,3.4326038820770991e-10,8.2609794483317858e-13,2.7244027785288258e-18,6.4095623366627565e-05,0.96237285911813919,0.001965591480855163,0.001408819676735811,4.0619077647919417e-13,7.6366018923168553e-07,2.8285400536090426e-15,0.02146466906202861
0.0050000000000000001,0.18761714867839713,134.18248774598993,423.19658245236769,0.4833403373458859,0.0067439082317713355,2.7498002384300415e-10,1.9821248316566318e-16,0.00020239699032249811,7.9197945589923807e-13,0.018885975571321559,1.8973416762900879e-09,6.9330783525753917e-12,2.2700301593537406e-16,0.00015157135276754565,0.91275538442357151,0.004775606190916647,0.0039289413508114606,7.4542280089368871e-12,2.1596544611377307e-06,6.5822644772489941e-14,0.052554054046489156
